Id,Length,a,A,c,C,g,G,t,T,w,W,s,S,m,M,k,K,r,R,y,Y,n,N
ref|NC_001133|,230218,0,69836,0,44641,0,45766,0,69975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001134|,813184,0,249673,0,157392,0,154391,0,251728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001135|,316620,0,98656,0,62359,0,59642,0,95963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001136|,1531933,0,476761,0,289337,0,291364,0,474471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001137|,576874,0,176533,0,109826,0,112313,0,178202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001138|,270161,0,82936,0,52197,0,52433,0,82595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001139|,1090940,0,338308,0,207771,0,207456,0,337405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001140|,562643,0,174024,0,109103,0,107487,0,172029,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001141|,439888,0,134339,0,85465,0,85661,0,134423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001142|,745751,0,231169,0,142294,0,143875,0,228413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001143|,666816,0,206161,0,127768,0,126085,0,206802,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001144|,1078177,0,330584,0,207777,0,207066,0,332750,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001145|,924431,0,286298,0,176734,0,176432,0,284967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001146|,784333,0,241558,0,151659,0,151391,0,239725,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001147|,1091291,0,339394,0,209023,0,207416,0,335458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001148|,948066,0,293950,0,180367,0,180509,0,293240,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ref|NC_001224|,85779,0,36169,0,6863,0,7813,0,34934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
